timestamp,easting,northing,zone_number,zone_letter
1741266344.875374,330234.52134732564,4156642.816778363,52,S
1741266345.0003738,330234.49801677954,4156642.972663735,52,S
1741266345.1253738,330234.48329483654,4156643.117272517,52,S
1741266345.2503738,330234.47718149633,4156643.2506047054,52,S
1741266345.3753738,330234.4712949961,4156643.3950328575,52,S
1741266345.5003738,330234.4656353429,4156643.550556975,52,S
1741266345.6253738,330234.46903797326,4156643.7169964234,52,S
1741266345.7503738,330234.4540891888,4156643.850509242,52,S
1741266345.8753738,330234.4393672493,4156643.995118023,52,S
1741266346.0003738,330234.4337075957,4156644.1506421394,52,S
1741266346.1253738,330234.42782110034,4156644.2950702915,52,S
1741266346.2503738,330234.4126454784,4156644.4174871463,52,S
1741266346.3753738,330234.42442986893,4156644.5615540408,52,S
1741266346.5003738,330234.4362142594,4156644.7056209357,52,S
1741266346.6253738,330234.4572877761,4156644.8716991283,52,S
1741266346.7503738,330234.4692990081,4156645.026861987,52,S
1741266346.8753738,330234.47224795574,4156645.171109512,52,S
1741266347.0003738,330234.492867787,4156645.3149957783,52,S
1741266347.1253738,330234.5046521784,4156645.4590626727,52,S
1741266347.2503738,330234.525725693,4156645.6251408653,52,S
1741266347.3753738,330234.554954122,4156645.75775054,52,S
1741266347.5003738,330234.566511668,4156645.8907214715,52,S
1741266347.6253738,330234.5875851809,4156646.056799665,52,S
1741266347.7503738,330234.6084318511,4156646.2117818957,52,S
1741266347.8753738,330234.6204430802,4156646.366944754,52,S
1741266348.0003738,330234.6143297441,4156646.5002769437,52,S
1741266348.1253738,330234.626340973,4156646.6554398024,52,S
1741266348.2503738,330234.6295167616,4156646.8107832884,52,S
1741266348.3753738,330234.6415279925,4156646.9659461495,52,S
1741266348.5003738,330234.6533123767,4156647.1100130444,52,S
1741266348.6253736,330234.6739322048,4156647.2538993107,52,S
1741266348.7503736,330234.70338746964,4156647.39760495,52,S
1741266348.8753736,330234.7332964176,4156647.5635025143,52,S
1741266349.0003736,330234.74530764425,4156647.7186653735,52,S
1741266349.1253736,330234.73942115076,4156647.863093527,52,S
1741266349.2503736,330234.7512055354,4156648.007160423,52,S
1741266349.3753736,330234.75460816495,4156648.173599873,52,S
1741266349.5003736,330234.77522799,4156648.31748614,52,S
1741266349.6253736,330234.8046832507,4156648.4611917795,52,S
1741266349.7503736,330234.82530307246,4156648.6050780476,52,S
1741266349.8753736,330234.86359376967,4156648.748603057,52,S
1741266350.0003736,330234.88466727367,4156648.914681252,52,S
1741266350.1253736,330234.90551393526,4156649.0696634827,52,S
1741266350.2503736,330234.9170714773,4156649.2026344156,52,S
1741266350.3753736,330234.93769129604,4156649.346520683,52,S
1741266350.5003736,330234.95831111434,4156649.490406951,52,S
1741266350.6253736,330235.0054372435,4156649.6337513328,52,S
1741266350.7503736,330235.02560337674,4156649.7554456745,52,S
1741266350.8753736,330235.05505863216,4156649.899151313,52,S
1741266351.0003736,330235.0759052894,4156650.0541335456,52,S
