index,Long,Lat,UTM_X,UTM_Y
0,127.07888299999999,37.541044899999996,330277.04969474924,4156629.137363477
1,127.07888299999999,37.541044899999996,330277.04969474924,4156629.137363477
2,127.07888299999999,37.541044899999996,330277.04969474924,4156629.137363477
3,127.07888299999999,37.541044899999996,330277.04969474924,4156629.137363477
4,127.07888299999999,37.541044899999996,330277.04969474924,4156629.137363477
5,127.07888299999999,37.541045,330277.0499215333,4156629.1484594396
6,127.0788829,37.541045,330277.04108607594,4156629.1486400226
7,127.07888279999999,37.541045,330277.03225061856,4156629.1488206056
8,127.0788827,37.5410451,330277.02364194527,4156629.16009715
9,127.0788826,37.5410452,330277.01503327204,4156629.171373695
10,127.0788826,37.5410453,330277.0152600561,4156629.1824696586
11,127.0788824,37.5410454,330276.9978159256,4156629.193926786
12,127.0788822,37.541045499999996,330276.9803717929,4156629.205383914
13,127.078882,37.5410456,330276.9629276624,4156629.2168410416
14,127.07888179999999,37.5410456,330276.9452567478,4156629.217202208
15,127.07888159999999,37.5410458,330276.92803940165,4156629.2397552985
16,127.07888129999999,37.5410458,330276.9015330298,4156629.2402970474
17,127.07888129999999,37.5410459,330276.90175981406,4156629.251393011
18,127.0788815,37.5410462,330276.92011108133,4156629.284319731
19,127.0788817,37.5410464,330276.9382355643,4156629.30615049
20,127.0788817,37.5410465,330276.9384623485,4156629.317246452
21,127.0788814,37.5410468,330276.91263632965,4156629.3510760884
22,127.07888109999999,37.5410472,330276.88703709317,4156629.3960016877
23,127.07888039999999,37.5410476,330276.8260960308,4156629.4416496186
24,127.0788798,37.5410481,330276.7742172085,4156629.498212929
25,127.078879,37.5410484,330276.70421390596,4156629.532945482
26,127.0788784,37.5410488,330276.65210830036,4156629.5784128318
27,127.0788776,37.541049199999996,330276.58233178384,4156629.6242413465
28,127.07887629999999,37.541049799999996,330276.46883154905,4156629.6931647058
29,127.078875,37.5410499,330276.3541973932,4156629.706608256
30,127.07887389999999,37.5410501,330276.2574609364,4156629.7307866006
31,127.0788719,37.541050299999995,330276.0812053692,4156629.756590203
32,127.0788707,37.5410506,330275.9758602424,4156629.7920450983
33,127.07886939999999,37.5410507,330275.86122608616,4156629.8054886544
34,127.078868,37.5410507,330275.737529692,4156629.8080168343
35,127.0788661,37.5410511,330275.5705631542,4156629.8558317875
36,127.0788645,37.5410513,330275.4296494153,4156629.8809130643
37,127.0788628,37.5410514,330275.2796734364,4156629.895078967
38,127.0788614,37.5410515,330275.1562038277,4156629.9087031176
39,127.07885979999999,37.541051599999996,330275.0150633039,4156629.9226884395
40,127.0788582,37.5410518,330274.87414956966,4156629.947769728
