index,Long,Lat,UTM_X,UTM_Y
1693,127.07623819999999,37.5423293,330046.2863373875,4156776.433322151
1694,127.07623989999999,37.5423304,330046.43903578154,4156776.552303634
1695,127.0762417,37.5423316,330046.60079658066,4156776.682200255
1696,127.07624329999999,37.5423328,330046.74488675734,4156776.8124585454
1697,127.0762451,37.5423338,330046.9061933438,4156776.9201632347
1698,127.07624659999999,37.5423349,330047.0412211007,4156777.0395063944
1699,127.0762482,37.542336,330047.1850841644,4156777.158668724
1700,127.0762496,37.542336999999996,330047.3110495032,4156777.267096751
1701,127.076251,37.542338099999995,330047.4372419405,4156777.3866207497
1702,127.0762525,37.542339,330047.57181547896,4156777.483771981
1703,127.0762537,37.5423399,330047.67988309066,4156777.5814657114
1704,127.0762549,37.5423407,330047.7877235983,4156777.6680634725
1705,127.0762561,37.5423414,330047.8953370026,4156777.7435652674
1706,127.0762572,37.5423421,330047.9941150995,4156777.8192478963
1707,127.07625809999999,37.5423427,330048.0749954741,4156777.8841962204
1708,127.0762589,37.5423433,330048.1470405421,4156777.949325377
1709,127.0762599,37.5423439,330048.2367562237,4156778.014092872
1710,127.07626069999999,37.5423445,330048.30880128714,4156778.0792220295
1711,127.0762618,37.5423452,330048.40757937403,4156778.154904662
1712,127.07626289999999,37.5423459,330048.50635745906,4156778.2305872967
1713,127.0762639,37.542346599999995,330048.59630023525,4156778.3064507623
1714,127.0762649,37.542347299999996,330048.68624300975,4156778.3823142312
1715,127.07626579999999,37.542348,330048.76735047344,4156778.458358529
1716,127.0762668,37.542348499999996,330048.85683904705,4156778.5120300623
1717,127.07626769999999,37.5423493,330048.9381736078,4156778.5991703314
1718,127.0762688,37.54235,330049.0369516827,4156778.674852972
1719,127.07626979999999,37.5423508,330049.12712154887,4156778.761812413
1720,127.0762711,37.542351499999995,330049.24357023305,4156778.837133393
1721,127.07627219999999,37.5423523,330049.3425754017,4156778.9239120055
1722,127.0762735,37.5423531,330049.4592511809,4156779.0103289583
1723,127.0762748,37.542353899999995,330049.57592695765,4156779.0967459106
1724,127.0762761,37.5423548,330049.6928298331,4156779.194258835
1725,127.0762774,37.5423557,330049.8097327013,4156779.2917717616
1726,127.0762786,37.5423565,330049.91757316445,4156779.3783695507
1727,127.07627989999999,37.5423574,330050.0344760297,4156779.4758824785
1728,127.0762812,37.542358199999995,330050.151151796,4156779.562299439
1729,127.0762824,37.542359,330050.2589922522,4156779.6488972325
1730,127.0762836,37.5423597,330050.3666056079,4156779.724399058
1731,127.07628489999999,37.542360599999995,330050.483508463,4156779.8219119916
1732,127.0762862,37.5423615,330050.6004113153,4156779.919424929
1733,127.0762876,37.5423624,330050.72614947,4156780.016757038
1734,127.0762891,37.5423634,330050.86095002433,4156780.1250042883
1735,127.07629039999999,37.542364299999996,330050.9778528679,4156780.222517228
1736,127.076292,37.5423653,330051.1214887226,4156780.3305836543
1737,127.0762934,37.5423662,330051.2472268649,4156780.4279157696
1738,127.07629499999999,37.5423672,330051.39086271037,4156780.5359822
1739,127.0762965,37.5423684,330051.5261174429,4156780.6664213985
1740,127.0762984,37.5423696,330051.6967133863,4156780.7961372845
1741,127.07630019999999,37.5423707,330051.8582469262,4156780.9149380336
1742,127.076302,37.542372,330052.02023465105,4156781.055930725
1743,127.0763039,37.5423731,330052.1906034851,4156781.1745506516
1744,127.0763059,37.5423743,330052.3700347113,4156781.304085724
1745,127.0763077,37.5423754,330052.5315682315,4156781.4228864866
1746,127.0763094,37.5423767,330052.6847206339,4156781.5640600156
1747,127.07631119999999,37.5423778,330052.8462541423,4156781.6828607838
1748,127.07631269999999,37.542378899999996,330052.9812817364,4156781.8022040348
1749,127.0763142,37.542380099999995,330053.11653642356,4156781.932643257
1750,127.0763159,37.542381299999995,330053.2694617099,4156782.062720828
1751,127.07631769999999,37.5423824,330053.43099520024,4156782.181521608
1752,127.0763193,37.5423836,330053.57508517674,4156782.3117800113
1753,127.076321,37.5423846,330053.72755626147,4156782.4196656533
1754,127.0763228,37.5423858,330053.889316834,4156782.5495624086
1755,127.0763245,37.5423869,330054.0420150036,4156782.6685440256
1756,127.07632609999999,37.5423878,330054.1854236803,4156782.765514532
1757,127.07632749999999,37.5423889,330054.31161593786,4156782.8850386296
1758,127.07632919999999,37.54239,330054.4643140952,4156783.0040202537
1759,127.0763308,37.542390999999995,330054.6079498537,4156783.1120867343
1760,127.0763324,37.5423921,330054.7518127032,4156783.23124919
1761,127.07633399999999,37.542393,330054.8952213618,4156783.328219707
1762,127.0763355,37.542394,330055.03002180986,4156783.4364670217
1763,127.076337,37.542395,330055.1648222522,4156783.544714339
1764,127.0763387,37.542396,330055.31729329325,4156783.652600008
1765,127.07634019999999,37.542397099999995,330055.4523208199,4156783.7719432986
1766,127.0763418,37.542398,330055.595729463,4156783.868913828
1767,127.07634329999999,37.5423991,330055.7307569821,4156783.9882571213
1768,127.0763448,37.5424001,330055.86555740854,4156784.096504451
1769,127.07634639999999,37.5424012,330056.0094202206,4156784.2156669237
1770,127.076348,37.5424021,330056.1528288471,4156784.3126374637
1771,127.07634949999999,37.542403199999995,330056.287856351,4156784.431980766
1772,127.0763511,37.542404,330056.43103788246,4156784.5178553406
1773,127.07635259999999,37.5424052,330056.56629246916,4156784.6482946174
1774,127.0763542,37.542406199999995,330056.7099281716,4156784.7563611334
1775,127.0763559,37.5424072,330056.86239917227,4156784.8642468313
1776,127.07635739999999,37.5424082,330056.9971995674,4156784.9724941757
1777,127.076359,37.542409299999996,330057.1410623479,4156785.0916566686
1778,127.0763607,37.5424102,330057.29330624756,4156785.1884464053
1779,127.07636219999999,37.5424112,330057.42810663173,4156785.296693756
1780,127.07636369999999,37.5424121,330057.5626799235,4156785.393845141
1781,127.07636529999999,37.5424131,330057.7063156022,4156785.501911674
1782,127.0763669,37.542414,330057.8497241863,4156785.5988822416
1783,127.0763685,37.5424149,330057.99313276925,4156785.6958528105
1784,127.07637,37.5424158,330058.12770604785,4156785.793004205
1785,127.07637159999999,37.5424167,330058.2711146218,4156785.889974778
1786,127.0763731,37.5424176,330058.4056878939,4156785.9871261762
1787,127.0763746,37.542418399999995,330058.5400340752,4156786.0731816073
1788,127.0763762,37.5424193,330058.68344264175,4156786.1701521883
1789,127.0763777,37.5424201,330058.8177888171,4156786.256207624
1790,127.0763793,37.542421,330058.96119737707,4156786.353178209
