index,Long,Lat,UTM_X,UTM_Y
0,127.07984049999999,37.5406646,330360.7871691593,4156585.2107762257
1,127.07984069999999,37.5406645,330360.8046134924,4156585.1993192816
2,127.07984069999999,37.5406645,330360.8046134924,4156585.1993192816
3,127.0798408,37.5406646,330360.8136756624,4156585.2102347496
4,127.0798408,37.5406646,330360.8136756624,4156585.2102347496
5,127.0798409,37.5406646,330360.8225111634,4156585.2100542574
6,127.0798408,37.5406647,330360.8139023313,4156585.221330711
7,127.0798408,37.540664899999996,330360.8143556691,4156585.2435226296
8,127.07984099999999,37.5406651,330360.83248000895,4156585.265353566
9,127.0798409,37.5406654,330360.8243245146,4156585.2988219373
10,127.0798411,37.5406658,330360.84290219203,4156585.342844794
11,127.07984099999999,37.5406664,330360.8354267045,4156585.409601047
12,127.0798411,37.5406671,330360.8458488875,4156585.4870922756
13,127.07984119999999,37.540667899999995,330360.85649773927,4156585.575679464
14,127.07984119999999,37.5406687,330360.8583110904,4156585.664447145
15,127.0798413,37.5406695,330360.8689599441,4156585.7530343337
16,127.07984119999999,37.540670399999996,330360.8621644614,4156585.853078466
17,127.0798415,37.5406713,330360.8907109845,4156585.9524006303
18,127.0798416,37.540672099999995,330360.9013598355,4156586.0409878194
19,127.0798423,37.5406729,330360.96502168674,4156586.128492056
20,127.07984289999999,37.5406738,330361.0200747078,4156586.227272745
21,127.0798432,37.5406747,330361.0486212257,4156586.3265949097
22,127.07984339999999,37.5406757,330361.068558912,4156586.437193528
23,127.0798437,37.5406767,330361.0973320997,4156586.547611652
24,127.0798435,37.5406778,330361.0821544535,4156586.670028197
25,127.0798437,37.540678799999995,330361.10209214105,4156586.780626814
26,127.0798437,37.5406797,330361.1041321588,4156586.880490455
27,127.0798439,37.540680699999996,330361.12406984356,4156586.9910890716
28,127.07984409999999,37.5406817,330361.14400752785,4156587.1016876893
29,127.0798445,37.5406827,330361.18161620956,4156587.2119253236
30,127.0798447,37.5406838,330361.20178056136,4156587.333619901
31,127.0798447,37.5406847,330361.2038205783,4156587.4334835415
32,127.0798446,37.5406858,330361.19747843617,4156587.5557195945
33,127.0798447,37.540686799999996,330361.208580618,4156587.6664987043
34,127.0798451,37.5406877,330361.2459626306,4156587.7656403775
35,127.07984549999999,37.5406887,330361.2835713086,4156587.875878011
36,127.0798458,37.5406897,330361.31234448997,4156587.9862961383
37,127.0798458,37.5406907,330361.3146111744,4156588.0972557394
38,127.0798461,37.5406915,330361.34293101565,4156588.1854819455
39,127.07984619999999,37.5406925,330361.3540331976,4156588.296261055
40,127.0798464,37.540693499999996,330361.37397087703,4156588.4068596717
41,127.07984649999999,37.5406945,330361.38507305854,4156588.517638782
42,127.07984649999999,37.5406955,330361.3873397425,4156588.628598384
43,127.07984649999999,37.540696499999996,330361.38960642647,4156588.7395579843
44,127.0798466,37.5406975,330361.40070860763,4156588.850337094
45,127.07984649999999,37.5406986,330361.394366463,4156588.972573147
46,127.07984669999999,37.540699599999996,330361.4143041409,4156589.083171765
47,127.0798468,37.540700699999995,330361.4256329901,4156589.2050468344
48,127.07984689999999,37.5407017,330361.43673517066,4156589.315825944
49,127.07984719999999,37.5407028,330361.4657350124,4156589.4373400304
50,127.0798473,37.540703799999996,330361.4768371946,4156589.5481191394
51,127.07984739999999,37.5407049,330361.4881660427,4156589.6699942113
52,127.07984769999999,37.5407058,330361.51671254623,4156589.7693163767
53,127.0798478,37.540707,330361.528268062,4156589.902287407
54,127.0798478,37.540707999999995,330361.530534745,4156590.013247008
55,127.07984769999999,37.5407091,330361.5241926007,4156590.135483062
56,127.07984769999999,37.5407102,330361.5266859523,4156590.257538623
57,127.07984769999999,37.5407113,330361.5291793039,4156590.3795941845
58,127.07984789999999,37.540712299999996,330361.54911697813,4156590.490192803
59,127.079848,37.5407133,330361.5602191566,4156590.600971913
60,127.0798483,37.5407144,330361.58921899355,4156590.722485999
61,127.07984859999999,37.540715399999996,330361.6179921637,4156590.8329041274
62,127.0798483,37.540716499999995,330361.59397902753,4156590.9555011624
63,127.0798482,37.5407176,330361.5876368863,4156591.0777372173
64,127.0798478,37.5407188,330361.55501492525,4156591.2116107047
65,127.07984769999999,37.54072,330361.54889945115,4156591.344942718
66,127.07984739999999,37.5407211,330361.5248863203,4156591.467539755
67,127.0798473,37.5407223,330361.51877084724,4156591.600871768
68,127.07984739999999,37.540723299999996,330361.5298730257,4156591.7116508777
69,127.0798473,37.540724399999995,330361.52353088453,4156591.833886931
70,127.07984739999999,37.5407256,330361.5350863998,4156591.966857963
71,127.0798475,37.5407267,330361.54641524644,4156592.088733031
72,127.07984769999999,37.5407279,330361.5668062549,4156592.221523571
73,127.07984789999999,37.540729,330361.5869705944,4156592.3432181505
74,127.079848,37.5407301,330361.5982994401,4156592.4650932197
75,127.079848,37.5407313,330361.60101946094,4156592.598244742
76,127.07984809999999,37.540732399999996,330361.61234830646,4156592.720119812
77,127.0798483,37.540733599999996,330361.63273931306,4156592.852910351
78,127.0798483,37.5407347,330361.6352326653,4156592.974965914
79,127.07984839999999,37.5407359,330361.6467881786,4156593.107936945
80,127.0798487,37.5407371,330361.6760146788,4156593.240546993
81,127.079849,37.5407382,330361.70501450775,4156593.3620610796
82,127.07984929999999,37.5407395,330361.73446767253,4156593.5057670884
83,127.0798495,37.5407406,330361.7546320078,4156593.627461667
84,127.0798497,37.5407418,330361.77502301324,4156593.7602522066
85,127.0798499,37.540743,330361.79541401594,4156593.893042745
86,127.0798499,37.5407442,330361.79813403485,4156594.026194268
87,127.07985029999999,37.5407453,330361.8359693516,4156594.147527865
88,127.0798509,37.540746399999996,330361.8914756522,4156594.268500478
89,127.0798516,37.540747499999995,330361.95581744047,4156594.3892926024
90,127.07985219999999,37.5407486,330362.011323738,4156594.5102652167
91,127.07985269999999,37.5407497,330362.0579945409,4156594.6314183245
92,127.07985359999999,37.5407508,330362.1400073081,4156594.751849465
93,127.0798543,37.540752,330362.20457575715,4156594.883737551
94,127.0798552,37.540752999999995,330362.2863618523,4156594.9930727333
95,127.0798559,37.540754199999995,330362.3509302996,4156595.1249608197
96,127.0798567,37.5407553,330362.4241075656,4156595.2455724566
97,127.0798576,37.5407563,330362.50589365454,4156595.354907642
98,127.0798583,37.5407574,330362.5702354285,4156595.4756997684
99,127.0798593,37.5407584,330362.6608570034,4156595.5848544654
100,127.0798602,37.5407595,330362.7428697532,4156595.705285612
101,127.07986109999999,37.5407605,330362.8246558315,4156595.814620801
102,127.07986199999999,37.540761499999995,330362.90644190984,4156595.923955989
103,127.0798629,37.5407623,330362.98777465266,4156596.0110992594
104,127.079864,37.5407632,330363.0870050391,4156596.1089775097
105,127.07986539999999,37.5407638,330363.21206189145,4156596.173026411
106,127.0798664,37.5407645,330363.3020034514,4156596.2488932326
107,127.07986749999999,37.5407651,330363.40055383253,4156596.3134836056
108,127.0798688,37.5407656,330363.516548524,4156596.3666170402
109,127.07987,37.540766,330363.6234810591,4156596.4088350055
110,127.0798713,37.540766399999995,330363.73924908193,4156596.450872483
111,127.07987259999999,37.5407668,330363.8550171035,4156596.4929099614
112,127.0798739,37.5407673,330363.9710117894,4156596.5460434025
113,127.07987519999999,37.540767599999995,330364.086553143,4156596.5769849233
114,127.07987639999999,37.540768199999995,330364.1939390025,4156596.6413948187
115,127.07987779999999,37.5407685,330364.31831584254,4156596.672155854
116,127.0798791,37.540768799999995,330364.4338571951,4156596.70309738
117,127.07988019999999,37.5407691,330364.53172756487,4156596.7343998863
118,127.07988139999999,37.540769499999996,330364.63866008946,4156596.7766178637
119,127.0798825,37.5407697,330364.73630379525,4156596.7968244106
120,127.07988359999999,37.5407702,330364.83462749375,4156596.850318841
121,127.0798849,37.5407704,330364.94994217507,4156596.8701644153
122,127.0798861,37.540770599999995,330365.0564213673,4156596.8901904775
123,127.0798873,37.5407709,330365.16312722286,4156596.921312502
124,127.07988839999999,37.5407711,330365.26077092544,4156596.941519056
125,127.0798895,37.5407712,330365.35818796366,4156596.950629651
126,127.0798908,37.5407714,330365.4735026442,4156596.9704752318
127,127.07989189999999,37.5407716,330365.57114634296,4156596.990681789
128,127.079893,37.5407716,330365.66833671683,4156596.988696427
129,127.0798942,37.5407717,330365.7745892422,4156596.9976265393
